SKU,Description,Category,Size,Price,Material,Color,Stock
SKU1000,Casual T-Shirt,Tops,S,79.13,Cotton,Yellow,14
SKU1001,Denim Jeans,Bottoms,L,34.04,Denim,Black,75
SKU1002,Leather Jacket,Outerwear,L,64.59,Leather,Red,57
SKU1003,Summer Dress,Dresses,XL,40.08,Polyester,Red,54
SKU1004,Sweatshirt,Tops,M,25.81,Cotton,Yellow,77
SKU1005,Running Shorts,Bottoms,XL,81.77,Polyester,Black,71
SKU1006,Polo Shirt,Tops,XL,33.97,Cotton,Gray,74
SKU1007,Chino Pants,Bottoms,M,85.66,Cotton,Gray,71
SKU1008,Winter Coat,Outerwear,S,57.29,Wool,Red,62
SKU1009,Blouse,Tops,M,97.69,Silk,Gray,25
SKU1010,Formal Shirt,Tops,S,35.77,Cotton,Black,38
SKU1011,Cargo Pants,Bottoms,M,33.29,Polyester,Gray,78
SKU1012,Hoodie,Tops,S,68.71,Cotton,Green,37
SKU1013,Maxi Dress,Dresses,S,11.88,Silk,Green,35
SKU1014,Gym Leggings,Bottoms,S,88.3,Spandex,White,16
SKU1015,Bomber Jacket,Outerwear,M,70.56,Nylon,Blue,59
SKU1016,Mini Skirt,Bottoms,L,34.69,Polyester,Yellow,25
SKU1017,Sweater,Tops,XL,74.48,Wool,White,94
SKU1018,Track Pants,Bottoms,S,61.3,Polyester,Black,19
SKU1019,Cardigan,Tops,S,94.88,Wool,White,68
